County	Senate_R	Senate_D	Gov_R	Gov_D	LtGov_R	LtGov_D	AG_R	AG_D	area_(mi^2)	pop	Total_Male	Total_Female	Anglo_Total	Anglo_Male	Anglo_Female	Black_Total	Black_Male	Black_Female	Other_Total
Red_River	3421	973	3470	904	3270	1062	3306	1017	904	11870	5854	6016	8520	4219	4301	2119	993	1126	359
Reeves	1125	1252	1204	1123	1067	1181	1037	1171	917	14576	8700	5876	2609	1724	885	686	582	104	207
Refugio	1636	846	1725	751	1545	860	1552	855	2120	7375	3694	3681	3124	1563	1561	430	228	202	130
Roberts	441	19	448	16	403	44	433	25	934	924	473	451	834	426	408	0	0	0	11
Robertson	4292	1942	4445	1753	4122	2003	4111	1969	1114	17518	8713	8805	9796	4893	4903	3691	1743	1948	328
Rockwall	26590	11713	28556	9393	26346	11260	25981	11459	650	93991	46013	47978	66148	32260	33888	5878	2854	3024	4914
Runnels	2842	385	2885	345	2558	588	2749	422	910	10398	5238	5160	6400	3162	3238	163	90	73	175
Rusk	12595	3609	12862	3233	11948	3943	12320	3610	1086	53886	28447	25439	33499	17148	16351	9337	5254	4083	1395
Sabine	3442	495	3473	456	3386	532	3389	514	711	11060	5451	5609	9530	4697	4833	763	381	382	323
San_Augustine	2260	734	2291	684	2197	764	2187	754	422	8355	4160	4195	5697	2851	2846	1945	945	1000	129
San_Jacinto	7487	1781	7710	1526	7356	1791	7212	1870	1050	27748	13670	14078	20430	9965	10465	2874	1436	1438	696
San_Patricio	11322	6755	12158	5823	11120	6648	11069	6628	1136	66237	33109	33128	25894	13017	12877	948	518	430	1577
San_Saba	1811	247	1835	211	1680	342	1748	264	1557	6219	3424	2795	3988	2069	1919	195	182	13	87
Schleicher	735	209	758	187	667	252	691	222	888	3172	1589	1583	1711	877	834	27	14	13	17
Scurry	3702	641	3747	576	3454	803	3585	679	940	17520	9427	8093	9290	4821	4469	766	564	202	261
Shackelford	1174	103	1190	87	1116	135	1144	112	794	3398	1649	1749	2971	1440	1531	9	4	5	66
Shelby	6005	1521	6129	1366	5725	1655	5888	1533	901	25438	12711	12727	15763	7817	7946	4215	1993	2222	390
Sherman	691	86	700	73	608	143	669	97	1502	3171	1630	1541	1673	845	828	10	9	1	42
Smith	53542	23036	55475	20487	52623	22535	52681	22242	786	224401	109415	114986	129364	62547	66817	39069	18212	20857	8610
Somervell	3032	633	3142	499	2934	655	2937	636	629	9000	4411	4589	6687	3274	3413	52	29	23	228
Starr	2436	8246	3210	6941	2227	7246	2067	7347	899	64071	31102	32969	2989	1470	1519	13	11	2	179
Stephens	2627	324	2649	291	2565	363	2578	344	588	9882	5134	4748	7163	3623	3540	196	134	62	179
Sterling	442	44	445	39	387	83	432	46	935	1346	682	664	854	425	429	12	11	1	32
Stonewall	497	112	503	96	441	151	471	122	997	1452	700	752	1159	564	595	39	19	20	31
Sutton	933	265	938	248	855	318	892	290	381	4039	2016	2023	1517	745	772	6	6	0	26
Swisher	1459	420	1489	368	1248	584	1357	480	836	7463	3981	3482	3519	1794	1725	542	373	169	145
Tarrant	308608	312477	339774	272985	313354	293861	306877	298565	989	1984677	976116	1008561	908388	446246	462142	306306	143200	163106	164878
Taylor	29751	10445	31087	8843	28964	10449	29372	9998	909	137289	67291	69998	85407	41464	43943	9819	5024	4795	7388
Terrell	323	138	316	136	283	140	276	147	788	853	433	420	431	217	214	4	3	1	17
Terry	2169	627	2220	551	1957	769	2080	637	1457	12766	6832	5934	5451	2838	2613	553	371	182	128
Throckmorton	617	77	625	63	535	137	599	79	1042	1517	754	763	1325	671	654	7	2	5	22
Titus	5654	2258	5828	2010	5266	2448	5451	2220	928	33746	16831	16915	14825	7224	7601	3036	1450	1586	833
Tom_Green	24568	9624	25705	8314	23260	10067	23709	9580	944	117944	58115	59829	63384	31182	32202	4206	2243	1963	3956
Travis	118603	356971	145105	318120	123557	335739	118767	340010	770	1194552	601978	592574	568828	285879	282949	91315	44347	46968	111421
Trinity	4146	998	4293	835	4042	1033	4028	1022	912	14441	7062	7379	11513	5611	5902	1408	664	744	305
Tyler	5874	1176	6033	965	5579	1301	5666	1210	880	22003	12256	9747	17360	9002	8358	2498	1647	851	464
Upshur	11517	2361	11625	2175	10768	2887	11231	2446	923	40795	20194	20601	32176	15892	16284	3507	1688	1819	1476
Upton	854	168	859	148	741	236	800	172	874	3573	1810	1763	1586	805	781	50	21	29	53
Uvalde	4343	3510	4747	3054	4311	3361	4144	3440	2636	27608	13527	14081	7297	3559	3738	118	72	46	380
Val_Verde	5290	5909	5938	5205	5326	5512	5089	5633	882	47874	24160	23714	7893	4319	3574	543	313	230	678
Van_Zandt	15181	2631	15606	2148	14547	3027	14670	2809	609	54550	26880	27670	45583	22276	23307	1487	759	728	1615
Victoria	18994	8039	19588	7238	18567	7892	18319	8098	356	92313	45219	47094	40416	19587	20829	5557	2676	2881	2748
Walker	11517	6163	12179	5311	11346	5978	11233	5953	841	71877	42133	29744	40649	22806	17843	15861	10181	5680	2314
Waller	10145	6317	10616	5774	10064	6215	9969	6212	895	49448	24401	25047	20624	10025	10599	10671	4761	5910	995
Ward	2092	799	2198	689	1882	913	2016	779	1061	11181	5468	5713	4821	2312	2509	538	280	258	203
