name, g, bp-rp, mem
604972463201969920, 15.547,  1.115, Y
604988376056169088, 16.800,  1.529, Y
604968133874491392, 17.578,  1.827, Y
604921713868337280, 16.719,  1.526, Y
604893165221336064, 12.581,  0.744, Y
604922779020036992, 12.953,  0.743, Y
604896498115955968, 13.996,  0.914, Y
604916564203137280, 13.861,  0.825, Y
604917629355042176, 10.166,  1.248, Y
604909894118250240, 17.704,  2.067, Y
604904057258372736, 15.105,  0.997, Y
604922302279259008, 13.415,  0.790, Y
604961777323248384, 19.087,  2.330, Y
604920653012020864, 15.783,  1.424, Y
604917831217881728, 12.570,  0.774, Y
604898903297606272, 16.713,  1.637, Y
604917491916094336, 18.055,  1.945, Y
604981087495865216, 19.691,  2.489, Y
604917590699705344, 17.331,  1.848, Y
604969783142095744, 12.618,  0.751, Y
604997309588066304, 16.182,  1.326, Y
604908863325982976, 13.295,  0.751, Y
604915391677373824, 18.388,  1.904, Y
604926494167461376, 15.645,  1.433, Y
604899315614438784, 15.844,  1.186, Y
604923333071376512, 15.679,  1.168, Y
604939241630372864, 15.957,  1.244, Y
604922985178465152, 12.700,  0.773, Y
604915189813463808, 13.482,  0.736, Y
604969237681904896, 16.309,  1.533, Y
604914601402325504, 12.139,  1.153, Y
605000848641142400, 15.674,  1.263, Y
604967588414483712, 17.493,  1.805, Y
604908352225723520, 18.938,  2.000, Y
604960441588923264, 15.982,  1.253, Y
598695007721506432, 17.277,  1.738, Y
598889213257785984, 17.074,  1.624, Y
598900105294874496, 17.020,  1.616, Y
598905568493286528, 16.248,  1.328, Y
598907660142282624, 18.391,  2.314, Y
598902682275232640, 13.572,  0.756, Y
604704697760911616, 16.388,  1.520, Y
604894745769327232, 15.349,  1.266, Y
604981607187745792, 13.402,  0.725, Y
604909894118735360, 19.592,  2.156, Y
604906565519358464, 14.236,  0.826, Y
604993667455856896, 14.054,  0.805, Y
604897833850019328, 14.382,  0.858, Y
604914262100725248, 16.169,  1.305, Y
604911135364520448, 14.800,  0.937, Y
604921030968952832, 13.137,  1.251, Y
604977209141167104, 15.581,  1.343, Y
604922267919525504, 14.017,  0.815, Y
604897799490329216, 19.447,  2.326, Y
604921340206591744, 16.980,  1.671, Y
604911341522929536, 13.025,  0.751, Y
604915499051114496, 12.915,  0.787, Y
604916010151555072, 13.405,  0.739, Y
604947281809005312, 14.931,  1.045, Y
604918793290569856, 17.401,  1.936, Y
604918247830312832, 18.986,  2.057, Y
604946865196193280, 17.324,  1.724, Y
604918591427678848, 12.487,  0.781, Y
604916529843406976, 14.993,  1.006, Y
604917354477131392, 14.746,  1.118, Y
605000642482686848, 17.328,  1.734, Y
604904572654435456, 15.947,  1.256, Y
604917148318677120, 13.669,  0.760, Y
604916117526551680, 14.433,  0.860, Y
604969748782357888, 13.099,  0.768, Y
604917006584145792, 18.616,  2.059, Y
604916594267287040, 17.212,  1.636, Y
604996897271215104, 14.855,  0.943, Y
604919965817201152, 15.539,  1.117, Y
604915597834696448, 14.983,  0.970, Y
604917625061651328, 16.625,  1.378, Y
604926494167460352, 14.438,  1.013, Y
604970062315630336, 19.665,  2.552, Y
604939241630374144, 14.016,  0.841, Y
604943429222316032, 15.288,  1.054, Y
604908592743901184, 17.219,  2.010, Y
604923848467467648, 13.174,  0.797, Y
604921855602675968, 12.417,  0.904, Y
604897696411107712, 19.341,  1.675, Y
604967966371608576, 19.731,  2.221, Y
604894638394355584, 13.184,  0.734, Y
604902304911675904, 18.507,  2.283, Y
604894913272261632, 14.787,  0.931, Y
604893676321680128, 13.903,  0.774, Y
605001329677769088, 14.235,  0.848, Y
604949888853089664, 12.532,  0.765, Y
604994079772706688, 17.540,  2.048, Y
604914055942336000, 15.834,  1.437, Y
604913987222816768, 16.102,  1.355, Y
604895089366706304, 13.874,  0.898, Y
604909760974981120, 16.238,  1.595, Y
598905667277444352, 17.110,  1.747, Y
598901754562312448, 14.061,  0.773, Y
598885880363159296, 15.023,  0.986, Y
598903953585548672, 13.659,  0.749, Y
598888697861717376, 16.645,  1.521, Y
598959822520052480, 14.203,  0.811, Y
598958581274116608, 17.906,  2.101, Y
598956313531822080, 18.388,  2.341, Y
604713463788946432, 14.868,  0.965, Y
604895055006972800, 16.057,  1.270, Y
604914159021501184, 17.915,  1.979, Y
604914949295282816, 14.467,  0.868, Y
604964083721159936, 16.588,  1.524, Y
604917625065211008, 16.097,  1.279, Y
604948651903292672, 17.972,  1.985, Y
604920824810533632, 15.247,  1.118, Y
604972467497283200, 15.266,  1.047, Y
605000024007420416, 13.155,  0.777, Y
604897631987335296, 13.549,  0.747, Y
605013767903055616, 13.498,  0.741, Y
604969615638992896, 19.330,  2.270, Y
604922061761107584, 14.870,  0.953, Y
604931819926896384, 16.087,  1.288, Y
604922920754523520, 15.300,  1.064, Y
604896566835438464, 12.233,  0.543, Y
604956142325569408, 18.771,  2.117, Y
605001054799578240, 16.844,  1.563, Y
604973085972551296, 13.417,  0.752, Y
604917831219174528, 13.167,  0.798, Y
604966003570704256, 17.867,  2.046, Y
